drug.sdf	coformer_0.sdf	1
drug.sdf	coformer_1.sdf	21
drug.sdf	coformer_2.sdf	10
drug.sdf	coformer_3.sdf	2
drug.sdf	coformer_4.sdf	17
drug.sdf	coformer_5.sdf	14
drug.sdf	coformer_6.sdf	9
drug.sdf	coformer_7.sdf	25
drug.sdf	coformer_8.sdf	15
drug.sdf	coformer_9.sdf	6
drug.sdf	coformer_10.sdf	8
drug.sdf	coformer_11.sdf	23
drug.sdf	coformer_12.sdf	26
drug.sdf	coformer_13.sdf	13
drug.sdf	coformer_14.sdf	19
drug.sdf	coformer_15.sdf	11
drug.sdf	coformer_16.sdf	22
drug.sdf	coformer_17.sdf	12
drug.sdf	coformer_18.sdf	16
drug.sdf	coformer_19.sdf	3
drug.sdf	coformer_20.sdf	0
drug.sdf	coformer_21.sdf	20
drug.sdf	coformer_22.sdf	4
drug.sdf	coformer_23.sdf	5
drug.sdf	coformer_24.sdf	7
drug.sdf	coformer_25.sdf	18
drug.sdf	coformer_26.sdf	24
